Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,6,Import,233,Estonia,EST,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,832666,832666,517334
H5,2018,2018,2018,6,Export,233,Estonia,EST,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,6851310,6851310,3046839
H5,2018,2018,2018,4,Import,242,Fiji,FJI,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,3823,3823,7411
H5,2018,2018,2018,4,Export,242,Fiji,FJI,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,1269033,1269033,141675
H5,2018,2018,2018,6,Export,242,Fiji,FJI,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,99000,99000,49753
H5,2018,2018,2018,6,Import,242,Fiji,FJI,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,3823,3823,7411
H5,2018,2018,2018,6,Export,242,Fiji,FJI,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,1170033,1170033,91921
H5,2018,2018,2018,4,Import,246,Finland,FIN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,3862391,3862391,3792179
H5,2018,2018,2018,4,Export,246,Finland,FIN,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,21575102,,5974499
H5,2018,2018,2018,6,Import,246,Finland,FIN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,2003618,2003618,1734764
H5,2018,2018,2018,6,Export,246,Finland,FIN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,13295153,13295153,4130383
H5,2018,2018,2018,6,Import,246,Finland,FIN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,938966,938966,1440404
H5,2018,2018,2018,6,Export,246,Finland,FIN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1285160,1285160,353657
H5,2018,2018,2018,6,Import,246,Finland,FIN,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,2035,2035,2330
